Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
qinzhou,cn,21.95,108.62,50.99,84.0,99.0,16.98
thunder bay,ca,48.4,-89.32,28.0,83.0,100.0,7.16
vuktyl,ru,63.86,57.31,-8.41,98.0,87.0,1.79
nuuk,gl,64.18,-51.72,12.2,72.0,20.0,9.17
qidong,cn,31.81,121.66,55.99,95.0,100.0,15.93
bako,et,5.78,36.57,80.42,47.0,100.0,1.63
warrnambool,au,-38.38,142.48,61.0,93.0,3.0,10.16
quelimane,mz,-17.88,36.89,84.2,70.0,40.0,6.93
yerbogachen,ru,61.28,108.01,10.4,96.0,97.0,4.41
do rud,ir,,,,,,
show low,us,34.25,-110.03,27.0,93.0,20.0,4.76
haibowan,cn,,,,,,
riihimaki,fi,60.74,24.78,35.01,73.0,5.0,9.08
sibolga,id,1.74,98.78,73.2,97.0,94.0,2.89
marsh harbour,bs,26.54,-77.06,71.94,65.0,27.0,3.44
abu samrah,qa,,,,,,
schruns,at,47.07,9.95,46.0,100.0,29.0,1.77
castanheira de pera,pt,40.01,-8.21,63.0,53.0,78.0,2.62
saint-georges,gf,3.9,-51.8,83.73,75.0,35.0,3.6
plettenberg bay,za,-34.05,23.37,70.86,83.0,13.0,2.01
hami,cn,42.8,93.45,8.85,79.0,0.0,2.57
mount gambier,au,-37.83,140.77,59.07,98.0,45.0,4.99
san andres,co,12.58,-81.7,79.11,68.0,56.0,13.8
sur,om,22.57,59.53,70.27,73.0,3.0,4.47
mocambique,mz,,,,,,
los llanos de aridane,es,28.66,-17.92,61.0,63.0,0.0,7.0
daxian,cn,,,,,,
mayo,ca,63.59,-135.9,-24.54,98.0,94.0,2.15
san juan,us,26.19,-98.16,64.99,92.0,100.0,10.36
viligili,mv,,,,,,
nortelandia,br,-14.45,-56.8,87.75,52.0,19.0,4.61
bulembu,sz,-25.97,31.13,78.8,68.0,67.0,6.93
awbari,ly,26.59,12.78,70.11,12.0,100.0,10.8
bucarasica,co,8.04,-72.87,66.45,71.0,66.0,3.87
hede,cn,33.77,120.25,43.56,76.0,100.0,15.39
mabaruma,gy,8.2,-59.78,85.53,53.0,100.0,4.43
ketchikan,us,55.34,-131.65,36.23,99.0,100.0,4.74
manaus,br,-3.1,-60.02,83.82,70.0,100.0,3.36
abha,sa,18.22,42.51,65.21,69.0,74.0,5.39
filadelfia,py,-22.35,-60.03,91.49,33.0,1.0,2.1
mubi,ng,10.27,13.26,82.44,8.0,3.0,10.45
kamiiso,jp,41.82,140.65,15.48,84.0,0.0,4.72
medea,dz,36.26,2.75,61.88,40.0,0.0,7.78
tadpatri,in,14.92,78.02,78.39,44.0,95.0,7.49
lerik,az,38.77,48.41,32.74,79.0,0.0,2.86
tonk,in,26.17,75.78,57.15,34.0,0.0,2.55
springfield,us,37.22,-93.3,30.0,100.0,1.0,5.82
berga,es,42.1,1.85,55.99,83.0,94.0,1.99
umm kaddadah,sd,13.6,26.69,71.74,14.0,0.0,18.77
sao joao da barra,br,-21.64,-41.05,73.98,91.0,99.0,8.37
erdenet,mn,49.03,104.08,5.07,67.0,3.0,3.69
altamont,us,42.21,-121.74,37.0,93.0,100.0,4.0
san quintin,mx,30.48,-115.95,55.51,88.0,0.0,1.83
wanning,cn,18.8,110.4,69.01,89.0,1.0,2.17
milkovo,ru,54.72,158.62,9.79,96.0,100.0,0.45
corinto,ni,12.48,-87.17,82.36,56.0,0.0,4.7
bolshoy lug,ru,52.08,104.09,5.0,71.0,43.0,17.9
cabedelo,br,-6.98,-34.83,89.4,56.0,81.0,11.7
chegdomyn,ru,51.12,133.02,-22.95,89.0,86.0,0.78
the valley,ai,18.22,-63.06,81.0,84.0,6.0,4.0
rancharia,br,-22.23,-50.89,72.37,76.0,0.0,8.34
sao filipe,cv,14.9,-24.5,76.06,55.0,18.0,21.5
lind,dk,56.1,8.98,46.0,97.0,94.0,1.99
leshukonskoye,ru,64.9,45.76,1.62,95.0,100.0,4.74
half moon bay,us,37.46,-122.43,55.0,100.0,90.0,4.7
dwarka,in,22.24,68.97,73.11,59.0,0.0,10.96
maghama,mr,,,,,,
laurel,us,39.1,-76.85,46.99,93.0,90.0,8.05
seddon,nz,-41.67,174.07,64.0,93.0,1.0,2.8
bardiyah,ly,31.76,25.09,59.38,53.0,0.0,2.1
luang prabang,la,19.89,102.13,59.05,42.0,0.0,1.86
lufilufi,ws,-13.87,-171.6,82.0,83.0,100.0,3.0
leeton,au,-34.57,146.4,71.04,31.0,0.0,3.74
el dorado,us,33.21,-92.67,41.07,74.0,33.0,2.17
faya,td,,,,,,
bonavista,ca,48.65,-53.11,18.0,77.0,0.0,15.01
shar,kz,49.59,81.05,31.77,96.0,100.0,17.81
mantua,cu,22.29,-84.28,76.59,60.0,85.0,9.64
ponta delgada,pt,37.73,-25.67,63.0,76.0,96.0,10.0
galgani,sd,,,,,,
martapura,id,-3.42,114.85,74.97,94.0,19.0,2.1
korla,cn,41.76,86.15,14.77,66.0,1.0,2.33
tocopilla,cl,-22.09,-70.2,67.21,76.0,97.0,6.51
zhangye,cn,38.93,100.45,24.89,40.0,25.0,3.76
bolshaya chernigovka,ru,,,,,,
santa rita,ve,10.54,-71.51,84.29,57.0,0.0,6.35
gannan,cn,47.91,123.5,-3.75,84.0,0.0,4.9
maturin,ve,9.75,-63.18,84.0,61.0,100.0,6.6
saldanha,za,-33.01,17.94,77.0,57.0,27.0,8.05
george,za,-33.96,22.46,77.0,69.0,20.0,9.17
vardo,no,70.37,31.11,23.85,66.0,100.0,19.98
grand river south east,mu,,,,,,
carnduff,ca,49.17,-101.8,14.0,92.0,62.0,3.0
kamyshin,ru,50.1,45.42,33.62,92.0,100.0,15.17
manaure,co,11.78,-72.44,76.95,76.0,0.0,2.48
churapcha,ru,62.0,132.43,-42.88,98.0,0.0,3.62
tynda,ru,55.17,124.72,-24.77,97.0,82.0,0.89
alofi,nu,-19.06,-169.92,80.47,86.0,100.0,9.82
nibbar,tn,36.29,8.77,62.92,42.0,100.0,3.47
galyugayevskaya,ru,43.7,44.93,37.0,64.0,100.0,1.12
anahuac,mx,27.23,-100.15,60.44,85.0,100.0,10.18
juterbog,de,51.98,13.08,37.0,70.0,90.0,5.82
geisenheim,de,49.98,7.97,39.0,100.0,1.0,1.99
willowmore,za,-33.29,23.49,82.53,34.0,34.0,7.96
port lincoln,au,-34.73,135.87,64.74,88.0,1.0,5.7
dongsheng,cn,39.82,109.98,16.57,82.0,0.0,2.39
teguldet,ru,57.31,88.17,27.21,87.0,100.0,16.31
guichicovi,mx,,,,,,
bogandinskiy,ru,56.89,65.89,2.59,94.0,1.0,8.3
buala,sb,-8.14,159.59,78.53,81.0,99.0,7.11
flores,br,-7.87,-37.97,92.01,27.0,10.0,9.8
palu,id,-0.89,119.87,70.5,98.0,99.0,0.92
mpulungu,zm,-8.76,31.11,71.74,83.0,81.0,2.82
bhuban,in,20.88,85.83,62.82,76.0,39.0,1.3
moron,mn,47.38,110.32,6.28,68.0,0.0,4.85
san cristobal,ec,-0.9,-89.62,76.48,84.0,100.0,14.99
bokspits,bw,,,,,,
abu kamal,sy,34.45,40.92,51.17,62.0,85.0,14.16
garmsar,ir,35.22,52.34,45.77,43.0,0.0,2.55
portland,au,-38.33,141.6,62.47,93.0,44.0,15.26
lata,sb,,,,,,
buzmeyin,tm,38.05,58.21,25.43,91.0,89.0,1.77
suileng,cn,47.25,127.08,-8.59,96.0,0.0,3.76
hearst,ca,49.68,-83.67,25.14,95.0,100.0,5.37
antri,in,26.06,78.21,56.66,39.0,0.0,2.15
salekhard,ru,66.53,66.6,-3.06,97.0,73.0,3.98
lazaro cardenas,mx,17.96,-102.2,75.29,76.0,0.0,3.42
leshan,cn,29.56,103.76,47.21,64.0,45.0,3.24
nishihara,jp,26.18,127.76,71.01,88.0,100.0,8.99
bulungu,cd,-4.55,18.6,88.54,51.0,15.0,4.23
atasu,kz,48.68,71.64,8.02,96.0,96.0,10.96
emirdag,tr,39.02,31.15,32.09,50.0,0.0,5.82
cervo,es,43.67,-7.41,57.0,1.0,0.0,1.99
samarai,pg,-10.62,150.67,76.28,90.0,5.0,4.56
tsiroanomandidy,mg,-18.77,46.03,75.34,86.0,71.0,4.5
kudahuvadhoo,mv,2.67,72.89,82.26,80.0,99.0,16.6
lakeside,us,30.13,-81.77,53.01,100.0,1.0,5.82
asau,tv,,,,,,
kadykchan,ru,,,,,,
miranorte,br,,,,,,
yulara,au,-25.24,130.99,81.82,17.0,0.0,10.65
dengzhou,cn,37.81,120.75,38.28,67.0,46.0,13.98
patrocinio,br,-18.94,-46.99,70.0,100.0,100.0,10.74
rahon,in,31.05,76.12,57.13,58.0,42.0,3.96
jalu,ly,29.03,21.55,62.71,34.0,74.0,8.63
pangnirtung,ca,66.15,-65.71,-37.43,99.0,100.0,1.88
paradwip,in,,,,,,
cutro,it,39.04,16.98,56.73,83.0,94.0,16.51
broken hill,au,-31.95,141.43,71.01,28.0,0.0,5.57
halalo,wf,,,,,,
ouadda,cf,8.08,22.4,85.75,13.0,100.0,6.44
jiddah,sa,,,,,,
necochea,ar,-38.55,-58.74,80.01,41.0,0.0,5.01
shorapani,ge,42.09,43.09,25.77,72.0,0.0,6.96
deep river,ca,46.1,-77.5,32.0,91.0,100.0,1.01
charagua,bo,-19.8,-63.22,100.63,20.0,0.0,1.81
rio grande,br,-32.03,-52.1,86.0,52.0,33.0,4.0
sindor,ru,62.86,51.89,1.24,97.0,100.0,4.7
magadan,ru,59.57,150.8,-5.94,94.0,100.0,14.25
smidovich,ru,48.6,133.82,-9.89,86.0,0.0,8.1
kaseda,jp,31.42,130.32,50.0,99.0,100.0,13.91
vagur,fo,61.47,-6.81,47.43,83.0,100.0,28.79
longlac,ca,,,,,,
zhangjiakou,cn,40.81,114.88,13.55,67.0,0.0,3.98
durban,za,-29.86,31.03,84.2,66.0,20.0,13.87
port-gentil,ga,-0.72,8.78,86.0,74.0,40.0,6.93
teguise,es,29.06,-13.56,64.69,61.0,0.0,13.62
musoma,tz,-1.5,33.8,80.6,65.0,20.0,13.87
flagstaff,us,35.2,-111.65,39.99,92.0,1.0,1.63
saleaula,ws,,,,,,
sumbawa,id,,,,,,
mazatlan,mx,23.22,-106.42,69.01,91.0,100.0,5.84
